asset_id,relative_path,filename,file_size,sha256,width,height,decodable,document_title,document_id,page,section,figure_number,figure_title,family,model,order_number,visual_type,source,verified,qualified,rejection_reasons
ASSET_0025,safeplc_assist_box/frontend/assets/demo_evidence_150/safety/page_00108.jpg,page_00108.jpg,105165,3dd4dde3a708eb1e104d949b3cf6b6bbbfded4f64fdb73dcfb262a1ad68eed66,993,1323,True,S7-1500/ET 200MP Manual Collection,A5E03461186-AN,108,基本信息 > 自动化系统 > 5 系统概述 > 5.4 CPU > 5.4.4 安全性,,,unknown,unknown,unknown,safety_risk_page,real_manual_page,True,True,
ASSET_0026,safeplc_assist_box/frontend/assets/demo_evidence_150/parameters/page_00119.jpg,page_00119.jpg,330207,53ec4f4ab6bb1bb9e3ca0bcf76b85c8eb659a92520fc7fecfd5ec677b170a509,993,1323,True,S7-1500/ET 200MP Manual Collection,A5E03461186-AN,119,基本信息 > 自动化系统 > 5 系统概述 > 5.6 输入和输出模块 > 5.6.3 数字量输出模块,,,unknown,unknown,unknown,table_or_parameter_page,real_manual_page,True,True,
ASSET_0027,safeplc_assist_box/frontend/assets/demo_evidence_150/parameters/page_00121.jpg,page_00121.jpg,341919,c533470811132599e298a664e104312fc555f4373694b1d5daf5494ede407a5d,993,1323,True,S7-1500/ET 200MP Manual Collection,A5E03461186-AN,121,基本信息 > 自动化系统 > 5 系统概述 > 5.6 输入和输出模块 > 5.6.3 数字量输出模块,,,unknown,unknown,unknown,table_or_parameter_page,real_manual_page,True,True,
ASSET_0028,safeplc_assist_box/frontend/assets/demo_evidence_150/parameters/page_00122.jpg,page_00122.jpg,221651,e989fe2c8b0529b294c4f3c9d8b2bdcce8cc377ec6e547be4661e30c88adcd2a,993,1323,True,S7-1500/ET 200MP Manual Collection,A5E03461186-AN,122,基本信息 > 自动化系统 > 5 系统概述 > 5.6 输入和输出模块 > 5.6.4 故障安全数字量模块,,,unknown,unknown,unknown,table_or_parameter_page,real_manual_page,True,True,
ASSET_0029,safeplc_assist_box/frontend/assets/demo_evidence_150/parameters/page_00124.jpg,page_00124.jpg,281125,5403e0d85ea0a7cddd133a49fd5d5699d655b929e620dd67fb12e57d2bb01a23,993,1323,True,S7-1500/ET 200MP Manual Collection,A5E03461186-AN,124,基本信息 > 自动化系统 > 5 系统概述 > 5.6 输入和输出模块 > 5.6.5 模拟量输入模块,,,unknown,unknown,unknown,table_or_parameter_page,real_manual_page,True,True,
ASSET_0030,safeplc_assist_box/frontend/assets/demo_evidence_150/parameters/page_00127.jpg,page_00127.jpg,281929,b7d22ec5251899ef27f71824ba583daaed634e284e2801614f018bd9380781f0,993,1323,True,S7-1500/ET 200MP Manual Collection,A5E03461186-AN,127,基本信息 > 自动化系统 > 5 系统概述 > 5.6 输入和输出模块 > 5.6.6 模拟量输出模块,,,unknown,unknown,unknown,table_or_parameter_page,real_manual_page,True,True,
ASSET_0031,safeplc_assist_box/frontend/assets/demo_evidence_150/module_layout/page_00148.jpg,page_00148.jpg,195475,e4d1bd675fe9aaa2f550fc3ed9a637b2792fab056369eb5d49172cbd113f15f4,993,1323,True,S7-1500/ET 200MP Manual Collection,A5E03461186-AN,148,基本信息 > 自动化系统 > 5 系统概述 > 5.9 电源,图 1-29,电源的完整组态,unknown,unknown,unknown,module_cpu_page,real_manual_page,True,True,
ASSET_0032,safeplc_assist_box/frontend/assets/demo_evidence_150/parameters/page_00149.jpg,page_00149.jpg,332165,46fd99e6fcee44607de7624dda4d0f291dc104b9dad05753d602ed639736561d,993,1323,True,S7-1500/ET 200MP Manual Collection,A5E03461186-AN,149,基本信息 > 自动化系统 > 5 系统概述 > 5.9 电源,,,unknown,unknown,unknown,table_or_parameter_page,real_manual_page,True,True,
ASSET_0033,safeplc_assist_box/frontend/assets/demo_evidence_150/wiring_terminal/page_00150.jpg,page_00150.jpg,241395,ca186ea839d9d93f613ec663fc59f02e0157d50b3f8e70d32d2f66f68c0e08d9,993,1323,True,S7-1500/ET 200MP Manual Collection,A5E03461186-AN,150,基本信息 > 自动化系统 > 5 系统概述 > 5.10 连接元件和系统接线,图 1-30,前连接器的型号（带有/不带屏蔽功能）,unknown,unknown,unknown,wiring_or_terminal_page,real_manual_page,True,True,
ASSET_0034,safeplc_assist_box/frontend/assets/demo_evidence_150/installation_power/page_00155.jpg,page_00155.jpg,173114,8f6a4b5d675ad4b395f3531360a3d973f546ba3b4b401ebeadd07c224104aa94,993,1323,True,S7-1500/ET 200MP Manual Collection,A5E03461186-AN,155,基本信息 > 自动化系统 > 6 应用规划 > 6.1 硬件配置 > 6.1.1 S7-1500 自动化系统的硬件配置,图 1-33,S7-1500 最大组态,unknown,unknown,unknown,installation_power_page,real_manual_page,True,True,
ASSET_0035,safeplc_assist_box/frontend/assets/demo_evidence_150/installation_power/page_00156.jpg,page_00156.jpg,259388,1b1dccabb22e06aef8d5f7fe3ed87d9b583ec5fa365d249b1f7f0d57be24fb6c,993,1323,True,S7-1500/ET 200MP Manual Collection,A5E03461186-AN,156,基本信息 > 自动化系统 > 6 应用规划 > 6.1 硬件配置 > 6.1.2 带有 PROFINET 接口模块的 ET 200MP 分布式 I/O 系统的硬件配置,,,ET 200MP,ET 200MP,unknown,installation_power_page,real_manual_page,True,True,
